,louvain,pseudotime
320,0,0.524897
321,0,0.51438665
322,0,0.5287053
323,3,0.4306425
324,0,0.5227657
325,0,0.5182609
326,0,0.5162942
327,0,0.51631266
328,0,0.49965554
329,3,0.22632064
330,1,0.5366395
331,0,0.52265716
332,0,0.5235693
333,0,0.51821554
334,0,0.5136187
335,0,0.46818417
336,0,0.5383087
337,1,0.56996506
338,0,0.522872
339,0,0.5063895
340,0,0.51931477
341,0,0.53043526
342,3,0.41872516
343,0,0.52249
344,0,0.5130363
345,0,0.5383507
346,0,0.5261709
347,0,0.52490485
348,0,0.53914624
349,0,0.52015644
350,0,0.5169411
351,0,0.53593194
352,1,0.5578933
353,0,0.5092207
354,0,0.47207752
355,0,0.5132905
356,0,0.5366891
357,0,0.5145639
358,0,0.52135766
359,0,0.5436564
360,0,0.5128073
361,0,0.52354175
362,0,0.5199323
363,0,0.4590694
364,0,0.5237394
365,0,0.5133379
366,0,0.5264943
367,0,0.5303853
368,0,0.5065985
369,0,0.51543355
370,0,0.51521474
371,1,0.58330387
372,0,0.51109767
373,0,0.5219004
374,0,0.4900032
375,0,0.5051006
376,0,0.52480286
377,0,0.52107626
378,0,0.50309896
379,0,0.5198178
380,0,0.50767624
381,0,0.54600734
382,0,0.5079608
383,0,0.5440236
384,0,0.5083139
385,0,0.507243
386,0,0.5166497
387,0,0.5120984
388,0,0.51798
389,0,0.50452286
390,0,0.5097258
391,0,0.5035098
392,0,0.49835598
393,0,0.5389848
394,0,0.50735503
395,0,0.4954258
396,0,0.52795357
397,1,0.5542608
398,3,0.47688547
399,0,0.53441787
400,0,0.5246542
401,0,0.52277255
402,0,0.49695304
403,0,0.53779155
404,0,0.4607789
405,0,0.54263824
406,0,0.5283366
407,0,0.5230958
408,0,0.5183256
409,0,0.50737524
410,1,0.56590587
411,0,0.51626563
412,0,0.50043553
413,0,0.5400951
414,0,0.5370731
415,0,0.5182272
416,0,0.4980215
417,0,0.5046119
418,0,0.5148371
419,0,0.52546835
420,0,0.513455
421,0,0.5274839
422,0,0.5261395
423,0,0.5215019
424,0,0.529025
